Old Univ #,Old Unique number within universe type,Old CTPP Table Number,Prefix for Set (Synthesized or not),CTPP Part, Univ #,Unique number within universe type,Colla-pse Suffix,CTPP Table Number*,Content,Universe,# of Cells
3,,23303C3,B,2,03,206,C3,B203206C3,Presence of Children (3) by Means of Transportation (4)  ,Workers 16 years and over in households,12
3,213,23304,B,2,03,207,,B203207,Number of Workers in households (3) by Means of Transportation (11)  ,Workers 16 years and over in households,33
3,,23304C,B,2,03,207,C,B203207C,Number of Workers in households (3) by Means of Transportation (7) ,Workers 16 years and over in households,21
3,,23304C2,B,2,03,207,C2,B203207C2,Number of Workers in households (3) by Means of Transportation (6) ,Workers 16 years and over in households,18
3,,23304C3,B,2,03,207,C3,B203207C3,Number of Workers in households (3) by Means of Transportation (4) ,Workers 16 years and over in households,12
3,305,23305,B,2,03,208,,B203208,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (11),Workers 16 years and over in households,11
3,,23305C,B,2,03,208,C,B203208C,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (7),Workers 16 years and over in households,7
3,,23305C2,B,2,03,208,C2,B203208C2,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (6),Workers 16 years and over in households,6
3,,23305C3,B,2,03,208,C3,B203208C3,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (4),Workers 16 years and over in households,4
3,301,23301,A,2,03,300,,A203300,Household income in the past 12 months (2010$) (5) by Number of Workers in household (6) by Age group of youngest child in the household (5),Workers 16 years and over in households,150
4,212,23212,A,2,04,200,,A204200,Vehicles available (6) by Poverty status (4),Workers 16 years and over in households for whom poverty status is determined,24
4,216,23216,A,2,04,201,,A204201,Poverty status (4) by Time arriving (17),Workers 16 years and over for whom poverty status is determined,68
5,105,22105,A,2,05,100,,A205100,Industry (15) ,Workers 16 years and over who are not self-employed,15
6,229,22228C0,B,2,06,201,,B206200,Aggregate travel time (1) by Means of transportation (18),Workers 16 years and over who did not work at home,18
6,228,22228,B,2,06,200,C,B206200C,Aggregate travel time (1) by Means of transportation (11),Workers 16 years and over who did not work at home,11
6,,22228C,B,2,06,200,C2,B206200C2,Aggregate travel time (1) by Means of transportation (7),Workers 16 years and over who did not work at home,7
6,,22228C2,B,2,06,200,C3,B206200C3,Aggregate travel time (1) by Means of transportation (6),Workers 16 years and over who did not work at home,6
6,,22228C3,B,2,06,200,C4,B206200C4,Aggregate travel time (1) by Means of transportation (4),Workers 16 years and over who did not work at home,4
6,231,22230C0,B,2,06,202,,B206202,Mean travel time (1) by Means of transportation (18),Workers 16 years and over who did not work at home,18
6,230,22230,B,2,06,202,C,B206202C,Mean travel time (1) by Means of transportation (11),Workers 16 years and over who did not work at home,11
6,,22230C,B,2,06,202,C2,B206202C2,Mean travel time (1) by Means of transportation (7),Workers 16 years and over who did not work at home,7
6,,22230C2,B,2,06,202,C3,B206202C3,Mean travel time (1) by Means of transportation (6),Workers 16 years and over who did not work at home,6
6,,22230C3,B,2,06,202,C4,B206202C4,Mean travel time (1) by Means of transportation (4),Workers 16 years and over who did not work at home,4
6,233,22232C0,B,2,06,203,,B206203,Median travel time (1) by Means of transportation (18),Workers 16 years and over who did not work at home,18
6,232,22232,B,2,06,203,,B206203C,Median travel time (1) by Means of transportation (11),Workers 16 years and over who did not work at home,11
6,,22232C,B,2,06,203,C2,B206203C2,Median travel time (1) by Means of transportation (7),Workers 16 years and over who did not work at home,7
6,,22232C2,B,2,06,203,C3,B206203C3,Median travel time (1) by Means of transportation (6),Workers 16 years and over who did not work at home,6
6,,22232C3,B,2,06,203,C4,B206203C4,Median travel time (1) by Means of transportation (4),Workers 16 years and over who did not work at home,4
6,303,22303,B,2,06,300,,B206300,Aggregate travel time (1) by Means of transportation (11) by Time arriving (17),Workers 16 years and over who did not work at home,187
6,,22303C,B,2,06,300,C,B206300C,Aggregate travel time (1) by Means of transportation (7) by Time arriving (10),Workers 16 years and over who did not work at home,70
6,,22303C2,B,2,06,300,C2,B206300C2,Aggregate travel time (1) by Means of transportation (6) by Time arriving (10),Workers 16 years and over who did not work at home,60
6,,22303C3,B,2,06,300,C3,B206300C3,Aggregate travel time (1) by Means of transportation (4) by Time arriving (10),Workers 16 years and over who did not work at home,40
6,304,22304,B,2,06,301,,B206301,Mean travel time (1) by Means of transportation (11) by Time arriving (17),Workers 16 years and over who did not work at home,187
6,,22304C,B,2,06,301,C,B206301C,Mean travel time (1) by Means of transportation (7) by Time arriving (10),Workers 16 years and over who did not work at home,70
6,,22304C2,B,2,06,301,C2,B206301C2,Mean travel time (1) by Means of transportation (6) by Time arriving (10),Workers 16 years and over who did not work at home,60
6,,22304C3,B,2,06,301,C3,B206301C3,Mean travel time (1) by Means of transportation (4) by Time arriving (10),Workers 16 years and over who did not work at home,40
6,305,22305,B,2,06,302,,B206302,Median travel time (1) by Means of transportation (11) by Time arriving (17),Workers 16 years and over who did not work at home,187
6,,22305C,B,2,06,302,,B206302CZ,Median travel time (1) by Means of transportation (7) by Time arriving (10),Workers 16 years and over who did not work at home,70
6,,22305C2,B,2,06,302,C,B206302C2,Median travel time (1) by Means of transportation (6) by Time arriving (10),Workers 16 years and over who did not work at home,60
6,,22305C3,B,2,06,302,C2,B206302C3,Median travel time (1) by Means of transportation (4) by Time arriving (10),Workers 16 years and over who did not work at home,40
7,109,22109,A,2,07,100,,A207100,"Workers per car, truck, or van (1)","Workers 16 years and over who used car, truck, or van",1
7,234,22234,B,2,07,200,,B207200,Aggregate vehicles used (1) by Time leaving home (5),"Workers 16 years and over who used car, truck, or van",5
7,236,22236,A,2,07,201,,A207201,"Workers per car, truck, or van (1) by Time leaving home (5)","Workers 16 years and over who used car, truck, or van",5
9,202,22202,B,2,09,200,,B209200,Aggregate Carpools (1) by Time leaving home (5),Workers 16 years and over who carpooled,5
9,235,22235,A,2,09,201,,A209201,Workers per carpool (1) by Time leaving home (5),Workers 16 years and over who carpooled,5
na,na,na,C,,2,,,C202100,Time leaving home (5) by Means of transportation (4),,
2,100,32100,A,3,02,100,,A302100,Total Workers (1),Workers 16 years and over,1
2,101,32101,B,3,02,101,,B302101,Age of Worker (8),Workers 16 years and over,8
2,104,32104,B,3,02,102,,B302102,Industry  (8),Workers 16 years and over,8
2,106,32106,A,3,02,103,,A302103,Means of transportation (18),Workers 16 years and over,18
2,108,32108,B,3,02,104,,B302104,Time leaving home to go to work (17),Workers 16 years and over,17
2,117,32117,B,3,02,105,,B302105,Minority status (3) ,Workers 16 years and over,3
2,118,32118,B,3,02,106,,B302106,Travel time to work (12),Workers 16 years and over,12
2,,32201,B,3,02,200,,B302200,Age of Worker (6) by Means of transportation (7),Workers 16 years and over,42
2,,32201C,B,3,02,200,C ,B302200C ,Age of Worker (6) by Means of transportation (4),Workers 16 years and over,24
2,,32226,B,3,02,201,,B302201,Time leaving home (5) by Means of transportation (7),Workers 16 years and over,35
2,,32226C,B,3,02,201,C,B302201C,Time leaving home (5) by Means of transportation (4),Workers 16 years and over,20
2,,32227,B,3,02,202,,B302202,Travel time (12) by Means of transportation (7),Workers 16 years and over,84
2,,32227C,B,3,02,202,C,B302202C,Travel time (12) by Means of transportation (4),Workers 16 years and over,48
3,100,33100,B,3,03,100,,B303100,Household income in past 12 months (2010$) (9),Workers 16 years and over in households,9
3,305,33305,B,3,03,200,,B303200,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (11),Workers 16 years and over in households,11
3,,33305C,B,3,03,200,C,B303200C,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (7),Workers 16 years and over in households,7
3,,33305C2,B,3,03,200,C2,B303200C2,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (6),Workers 16 years and over in households,6
3,,33305C3,B,3,03,200,C3,B303200C3,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (4),Workers 16 years and over in households,4
3,204,33204,B,3,03,201,,B303201,Household income in past 12 months (2010$) (5) by Means of transportation (7),Workers 16 years and over in households,35
3,,33204C,B,3,03,201,C,B303201C,Household income in past 12 months (2010$) (5) by Means of transportation (4),Workers 16 years and over in households,20
3,211,33211,B,3,03,202,,B303202,Vehicles available (4) by Means of transportation (7) ,Workers 16 years and over in households,28
3,,33211C,B,3,03,202,C,B303202C,Vehicles available (4) by Means of transportation (4) ,Workers 16 years and over in households,16
4,103,33103,B,3,04,100,,B304100,Poverty status (4),Workers 16 years and over for whom poverty status is determined,4
5,105,32105,B,3,05,101,,B305101,Industry  (8),Workers 16 years and over who are not self-employed,8
6,,32228,B,3,06,200,,B306200,Aggregate Travel time (1) by Means of transportation (7),Workers 16 years and over who did not work at home,7
6,,32228C,B,3,06,200,C,B306200C,Aggregate Travel time (1) by Means of transportation (4),Workers 16 years and over who did not work at home,4
6,,32230,B,3,06,201,,B306201,Mean Travel time (1) by Means of transportation (7),Workers 16 years and over who did not work at home,7
6,,32230C,B,3,06,201,C,B306201C,Mean Travel time (1) by Means of transportation (4),Workers 16 years and over who did not work at home,4
6,,32232,B,3,06,202,,B306202,Median Travel time (1) by Means of transportation (7),Workers 16 years and over who did not work at home,7
6,,32232C,B,3,06,202,C,B306202C,Median Travel time (1) by Means of transportation (4),Workers 16 years and over who did not work at home,4
6,300,32300,B,3,06,300,,B306300,Aggregate Travel time (1) by Means of transportation (7) and Time leaving home (5),Workers 16 years and over who did not work at home,35
6,,32300C,B,3,06,300,C,B306300C,Aggregate Travel time (1) by Means of transportation (4) and Time leaving home (5),Workers 16 years and over who did not work at home,20
6,301,32301,B,3,06,301,,B306301,Mean Travel time (1) by Means of transportation (7) and Time leaving home (5),Workers 16 years and over who did not work at home,35
6,,32301C,B,3,06,301,C,B306301C,Mean Travel time (1) by Means of transportation (4) and Time leaving home (5),Workers 16 years and over who did not work at home,20
6,302,32302,B,3,06,302,,B306302,Median Travel time (1) by Means of transportation (7) and Time leaving home (5),Workers 16 years and over who did not work at home,35
6,,32302C,B,3,06,302,C,B306302C,Median Travel Time (1) by Means of transportation (4) and Time leaving home (5),Workers 16 years and over who did not work at home,20
7,234,32234,B,3,07,200,,B307200,Aggregate Vehicles used (1) by Time leaving home (5),"Workers 16 years and over who used car, truck or van",5
7,236,32236,B,3,07,201,,B307201,"Workers per car, truck, or van (1) by Time leaving home (5)","Workers 16 years and over who used car, truck or van",5
9,202,32202,B,3,09,200,,B309200,Aggregate Carpools (1) by Time leaving home (5),Workers 16 years and over who carpooled,5
9,235,32235,B,3,09,201,,B309201,Workers per carpool (1) by Time leaving home (5),Workers 16 years and over who carpooled,5
